Name,Unnamed: 0_2010,Unnamed: 0_2014,Unnamed: 0_2018,Unnamed: 0_2022,ID_2010,ID_2014,ID_2018,ID_2022,Formation_2010,Formation_2014,Formation_2018,Formation_2022,Overall_2010,Overall_2014,Overall_2018,Overall_2022,Attack_2010,Attack_2014,Attack_2018,Attack_2022,Midfield_2010,Midfield_2014,Midfield_2018,Midfield_2022,Defence_2010,Defence_2014,Defence_2018,Defence_2022,Speed_2010,Speed_2014,Speed_2018,Speed_2022,Dribbling_2010,Dribbling_2014,Dribbling_2018,Dribbling_2022,Passing_2010,Passing_2014,Passing_2018,Passing_2022,Positioning_2010,Positioning_2014,Positioning_2018,Positioning_2022,Crossing_2010,Crossing_2014,Crossing_2018,Crossing_2022,Passing.1_2010,Passing.1_2014,Passing.1_2018,Passing.1_2022,Shooting_2010,Shooting_2014,Shooting_2018,Shooting_2022,Positioning.1_2010,Positioning.1_2014,Positioning.1_2018,Positioning.1_2022,Aggression_2010,Aggression_2014,Aggression_2018,Aggression_2022,Pressure_2010,Pressure_2014,Pressure_2018,Pressure_2022,Defender line_2010,Defender line_2014,Defender line_2018,Defender line_2022,Domestic prestige_2010,Domestic prestige_2014,Domestic prestige_2018,Domestic prestige_2022,International prestige_2010,International prestige_2014,International prestige_2018,International prestige_2022,Players_2010,Players_2014,Players_2018,Players_2022,Starting XI average age_2010,Starting XI average age_2014,Starting XI average age_2018,Starting XI average age_2022,Whole team average age_2010,Whole team average age_2014,Whole team average age_2018,Whole team average age_2022,Unnamed: 24_2010,Unnamed: 24_2014,Unnamed: 24_2018,Unnamed: 24_2022,Rank,Total Points,Previous Points,+/-,Match window,Appearances,Matches Played,Wins,Draws,Losses,Goals For,Goals Against,Goal Difference,Points
paraguay  conmebol,0,0,0,0,1375,1375,1375,0,5-3-2,4-2-3-1 Wide,4-2-3-1 Wide,0,75,74,75,0,75,78,75,0,70,73,75,0,73,70,72,0,Balanced,Slow,Balanced,0,Little,Lots,Normal,0,Mixed,Mixed,Mixed,0,Organised,Organised,Organised,0,Normal,Little,Normal,0,Normal,Safe,Normal,0,Lots,Normal,Normal,0,Organised,Organised,Organised,0,Press,Press,Press,0,Medium,Deep,Medium,0,Cover,Cover,Cover,0,20,20,10,0,8,8,4,0,30,23,23,0,28.09,30.73,27.73,0.0,27.5,29.61,28.09,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
peru  conmebol,0,0,0,0,0,111108,111108,0,0,4-3-3 Flat,4-1-4-1,0,0,72,72,0,0,77,73,0,0,69,73,0,0,70,72,0,0,Balanced,Balanced,0,0,Normal,Normal,0,0,Mixed,Mixed,0,0,Organised,Organised,0,0,Normal,Lots,0,0,Normal,Normal,0,0,Normal,Normal,0,0,Organised,Organised,0,0,Press,Double,0,0,Medium,Medium,0,0,Cover,Cover,0,0,20,10,0,0,6,3,0,0,23,23,0,0.0,26.91,26.55,0.0,0.0,27.39,25.65,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
poland  uefa,0,0,0,0,1353,1353,1353,1353,4-4-2 Flat,4-2-3-1 Wide,5-2-1-2,4-3-2-1,72,75,77,77,69,77,82,81,68,73,76,74,67,74,75,75,Fast,Balanced,Balanced,Slow,Little,Normal,Normal,Little,Mixed,Mixed,Mixed,Short,Organised,Organised,Free form,Organised,Normal,Normal,Normal,Little,Normal,Normal,Normal,Safe,Normal,Normal,Normal,Little,Organised,Organised,Free form,Organised,Double,Press,Contain,Contain,Medium,Medium,Medium,Deep,Cover,Cover,Cover,Cover,20,20,10,10,11,11,5,5,29,23,23,23,27.36,26.18,27.0,26.73,26.97,24.96,26.52,26.65,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
portugal  uefa,0,0,0,0,1354,1354,1354,1354,4-3-3 Flat,4-3-3 Holding,4-1-3-2,4-3-3 Holding,82,80,82,84,77,82,85,85,81,79,82,83,79,80,80,85,Fast,Balanced,Balanced,Slow,Little,Normal,Lots,Little,Short,Short,Mixed,Short,Free form,Organised,Organised,Organised,Lots,Normal,Normal,Little,Risky,Safe,Normal,Safe,Lots,Normal,Normal,Little,Free form,Free form,Free form,Organised,Press,Press,Press,Contain,Medium,Medium,Medium,Deep,Offside trap,Cover,Cover,Cover,20,20,10,10,16,16,8,8,30,23,23,23,27.82,27.45,27.09,29.09,27.1,25.48,26.91,27.35,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
republic of ireland  uefa,0,0,0,0,1355,1355,1355,1355,4-4-2 Flat,4-4-1-1 Midfield,4-2-3-1 Wide,5-2-3,75,73,75,73,72,75,75,69,74,75,74,73,73,73,75,74,Fast,Balanced,Balanced,Slow,Little,Normal,Normal,Little,Long,Mixed,Mixed,Short,Organised,Organised,Organised,Organised,Lots,Normal,Normal,Little,Risky,Normal,Safe,Safe,Lots,Normal,Lots,Little,Organised,Organised,Organised,Organised,Double,Press,Press,Contain,High,Medium,High,Deep,Cover,Cover,Cover,Cover,20,20,10,10,10,10,5,5,30,23,23,23,28.0,27.82,27.64,26.82,26.83,27.22,26.52,25.13,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
romania  uefa,0,0,0,0,1356,1356,1356,1356,4-4-2 Flat,4-2-3-1 Wide,4-2-3-1 Wide,4-3-3 Holding,75,73,72,72,71,73,72,72,70,72,72,72,74,71,70,68,Fast,Balanced,Balanced,Slow,Little,Little,Normal,Little,Mixed,Mixed,Mixed,Short,Organised,Organised,Organised,Organised,Lots,Lots,Normal,Little,Normal,Normal,Normal,Safe,Lots,Normal,Normal,Little,Organised,Organised,Organised,Organised,Press,Press,Press,Contain,Deep,Medium,Medium,Deep,Cover,Cover,Cover,Cover,20,20,10,10,10,10,5,5,30,23,23,23,27.27,26.09,27.09,27.45,27.23,26.17,26.04,25.52,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
russia  uefa,0,0,0,0,1357,1357,1357,0,4-5-1 Attack,4-2-3-1 Wide,5-3-2,0,80,77,78,0,79,76,80,0,77,75,78,0,76,75,76,0,Fast,Balanced,Balanced,0,Little,Normal,Lots,0,Mixed,Mixed,Mixed,0,Free form,Organised,Organised,0,Normal,Lots,Normal,0,Risky,Risky,Normal,0,Lots,Normal,Normal,0,Free form,Organised,Organised,0,Press,Press,Press,0,Medium,Medium,Medium,0,Cover,Cover,Cover,0,20,20,10,0,13,12,6,0,29,23,23,0,27.09,27.36,28.09,0.0,26.17,26.09,27.35,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
saudi arabia  afc,0,0,0,0,0,0,111114,0,0,0,4-2-3-1 Wide,0,0,0,72,0,0,0,73,0,0,0,72,0,0,0,73,0,0,0,Fast,0,0,0,Lots,0,0,0,Mixed,0,0,0,Organised,0,0,0,Normal,0,0,0,Risky,0,0,0,Lots,0,0,0,Organised,0,0,0,Press,0,0,0,Medium,0,0,0,Cover,0,0,0,10,0,0,0,4,0,0,0,23,0,0.0,0.0,29.55,0.0,0.0,0.0,27.17,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
scotland  uefa,0,0,0,0,1359,1359,1359,1359,4-4-1-1 Attack,4-2-3-1 Wide,4-2-3-1 Wide,5-2-1-2,75,73,74,76,73,75,75,73,73,74,74,76,72,68,74,77,Fast,Balanced,Balanced,Slow,Little,Normal,Normal,Little,Long,Mixed,Mixed,Short,Organised,Organised,Organised,Organised,Lots,Normal,Normal,Little,Normal,Normal,Normal,Safe,Lots,Normal,Normal,Little,Organised,Organised,Organised,Organised,Double,Press,Press,Contain,Medium,Medium,Medium,Deep,Cover,Cover,Cover,Cover,20,20,10,10,11,9,4,4,30,23,23,23,26.82,26.0,26.18,25.82,26.6,26.83,25.83,26.17,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
slovenia  uefa,0,0,0,0,1361,1361,1361,0,4-4-2 Flat,4-2-3-1 Wide,4-2-3-1 Wide,0,70,73,75,0,70,71,72,0,67,73,76,0,67,71,72,0,Fast,Balanced,Balanced,0,Little,Normal,Little,0,Long,Mixed,Mixed,0,Organised,Organised,Organised,0,Normal,Lots,Normal,0,Normal,Normal,Normal,0,Lots,Normal,Normal,0,Organised,Organised,Organised,0,Double,Press,Press,0,Medium,Medium,High,0,Cover,Cover,Cover,0,20,20,10,0,5,10,5,0,30,23,23,0,25.64,26.36,27.09,0.0,25.67,26.17,25.96,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
south africa  caf,0,0,0,0,111099,111099,111099,0,4-1-2-1-2 Wide,4-2-3-1 Wide,4-3-3 Defend,0,72,69,71,0,70,65,72,0,71,69,70,0,67,69,70,0,Fast,Balanced,Balanced,0,Little,Lots,Normal,0,Long,Mixed,Mixed,0,Organised,Organised,Organised,0,Normal,Normal,Lots,0,Normal,Normal,Normal,0,Lots,Normal,Normal,0,Organised,Organised,Organised,0,Double,Press,Press,0,High,Medium,Deep,0,Cover,Cover,Cover,0,20,20,10,0,8,8,4,0,27,23,23,0,26.64,23.27,25.36,0.0,26.96,22.78,24.35,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
spain  uefa,0,0,0,0,1362,1362,1362,1362,4-4-2 Flat,4-3-3 Attack,4-3-3 Attack,4-3-3 Holding,85,84,85,84,83,86,84,83,83,84,86,85,82,82,85,83,Balanced,Balanced,Slow,Slow,Little,Normal,Normal,Little,Short,Mixed,Short,Short,Free form,Organised,Organised,Organised,Normal,Normal,Little,Little,Risky,Normal,Safe,Safe,Normal,Normal,Little,Little,Free form,Free form,Free form,Organised,Press,Press,Press,Contain,Medium,Medium,High,Deep,Cover,Cover,Cover,Cover,20,20,10,10,19,20,9,9,30,23,23,23,26.45,26.09,26.36,25.55,25.17,24.74,25.91,26.48,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sweden  uefa,0,0,0,0,1363,1363,1363,1363,4-2-3-1 Narrow,4-3-3 Holding,4-4-2 Flat,4-3-3 Attack,77,75,75,76,78,77,76,78,73,74,75,75,74,74,75,76,Balanced,Balanced,Balanced,Slow,Little,Normal,Normal,Little,Mixed,Short,Mixed,Short,Organised,Organised,Organised,Organised,Lots,Normal,Normal,Little,Risky,Safe,Normal,Safe,Lots,Lots,Normal,Little,Organised,Organised,Organised,Organised,Double,Press,Press,Contain,Medium,Medium,Medium,Deep,Cover,Cover,Cover,Cover,20,20,10,10,11,11,5,5,30,23,23,23,26.27,27.64,27.91,25.45,25.67,26.7,26.43,26.87,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
switzerland  uefa,0,0,0,0,1364,1364,1364,0,4-4-2 Flat,4-2-3-1 Narrow,4-2-3-1 Narrow,0,76,76,78,0,74,74,74,0,74,76,77,0,73,77,78,0,Balanced,Balanced,Balanced,0,Little,Normal,Normal,0,Mixed,Mixed,Mixed,0,Organised,Organised,Organised,0,Normal,Normal,Normal,0,Risky,Normal,Normal,0,Lots,Normal,Normal,0,Organised,Organised,Organised,0,Press,Press,Press,0,Medium,Medium,Medium,0,Cover,Cover,Cover,0,20,20,10,0,11,11,5,0,30,23,23,0,26.55,23.64,26.64,0.0,25.7,24.17,25.7,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
türkiye  uefa,0,0,0,0,1365,1365,1365,0,4-4-2 Flat,4-4-2 Flat,4-2-3-1 Wide,0,78,78,76,0,77,76,78,0,77,79,77,0,74,76,74,0,Fast,Balanced,Balanced,0,Little,Normal,Normal,0,Mixed,Mixed,Mixed,0,Organised,Organised,Organised,0,Lots,Normal,Normal,0,Risky,Normal,Safe,0,Lots,Normal,Normal,0,Organised,Organised,Organised,0,Double,Press,Press,0,Medium,Medium,Medium,0,Cover,Cover,Cover,0,20,20,10,0,14,14,6,0,30,23,23,0,26.91,25.27,24.91,0.0,25.47,25.83,24.65,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ukraine  uefa,0,0,0,0,1366,0,0,1366,4-4-2 Flat,0,0,4-1-4-1,76,0,0,76,73,0,0,76,72,0,0,77,70,0,0,74,Balanced,0,0,Slow,Little,0,0,Little,Long,0,0,Short,Organised,0,0,Organised,Lots,0,0,Little,Normal,0,0,Safe,Lots,0,0,Little,Organised,0,0,Organised,Double,0,0,Contain,Medium,0,0,Deep,Cover,0,0,Cover,20,0,0,10,14,0,0,6,30,0,0,23,25.82,0.0,0.0,25.64,26.0,0.0,0.0,26.35,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
united states  concacaf,0,0,0,0,1387,1387,1387,1387,4-4-2 Flat,4-4-2 Flat,4-3-3 Holding,4-3-3 Holding,74,74,74,75,72,75,72,75,71,72,73,75,70,71,74,75,Fast,Balanced,Balanced,Slow,Little,Normal,Normal,Little,Mixed,Mixed,Mixed,Short,Free form,Organised,Organised,Organised,Normal,Normal,Normal,Little,Safe,Normal,Risky,Safe,Normal,Normal,Normal,Little,Free form,Organised,Organised,Organised,Press,Press,Double,Contain,High,Medium,Medium,Deep,Cover,Cover,Cover,Cover,20,20,10,10,12,12,6,6,30,23,23,23,25.82,27.45,22.91,22.18,25.4,25.83,23.87,23.39,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
uruguay  conmebol,0,0,0,0,1377,1377,1377,0,3-5-2,4-4-2 Holding,4-4-2 Flat,0,78,76,81,0,76,82,86,0,70,75,76,0,74,76,79,0,Fast,Fast,Balanced,0,Little,Normal,Normal,0,Mixed,Mixed,Mixed,0,Free form,Organised,Organised,0,Lots,Little,Normal,0,Normal,Normal,Risky,0,Lots,Lots,Normal,0,Free form,Organised,Organised,0,Press,Press,Double,0,Deep,Deep,Medium,0,Cover,Cover,Cover,0,20,20,10,0,11,12,7,0,30,23,23,0,24.45,28.09,26.27,0.0,25.73,27.22,26.61,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
venezuela  conmebol,0,0,0,0,0,111487,111487,0,0,4-4-2 Holding,4-4-2 Flat,0,0,71,73,0,0,72,77,0,0,69,73,0,0,72,70,0,0,Slow,Fast,0,0,Normal,Normal,0,0,Short,Long,0,0,Organised,Organised,0,0,Little,Normal,0,0,Safe,Normal,0,0,Little,Normal,0,0,Organised,Organised,0,0,Press,Press,0,0,Deep,Deep,0,0,Cover,Cover,0,0,20,10,0,0,5,2,0,0,23,23,0,0.0,28.09,23.82,0.0,0.0,26.96,23.91,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wales  uefa,0,0,0,0,0,1367,1367,1367,0,4-2-3-1 Wide,3-4-2-1,4-2-3-1 Wide,0,73,74,74,0,70,82,74,0,74,71,74,0,72,77,72,0,Balanced,Fast,Slow,0,Little,Normal,Little,0,Mixed,Long,Short,0,Organised,Organised,Organised,0,Normal,Normal,Little,0,Normal,Normal,Safe,0,Normal,Lots,Little,0,Organised,Organised,Organised,0,Press,Press,Contain,0,Medium,Medium,Deep,0,Cover,Cover,Cover,0,20,10,10,0,8,4,4,0,23,23,23,0.0,24.64,27.82,27.27,0.0,25.13,25.78,25.78,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
