home_team,away_team,home_score,away_score,Attendance,Venue,Round,Date,Score,Host,Year,Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21
Italy,Czechoslovakia,2,0,73303,"Stadio Olimpico, Rome",Group stage,19-06-1990,2–0,Italy,1990,,"['9&rsquor;|1:0|Salvatore Schillaci', '78&rsquor;|2:0|Roberto Baggio']",,,,,,,,,,,,,,,,"['44&rsquor;|1:0|Roberto Baggio', '70&rsquor;|1:0|Nicola Berti']","['26&rsquor;|1:0|Jozef Chovanec', '29&rsquor;|1:0|Tomáš Skuhravý']","['51&rsquor;|1:0|Luigi De Agostini|for Roberto Donadoni', '65&rsquor;|1:0|Pietro Vierchowod|for Fernando De Napoli']","['46&rsquor;|1:0|Július Bielik|for Václav Němeček', '58&rsquor;|1:0|Stanislav Griga']"
Argentina,Romania,1,1,52733,"San Paolo, Naples",Group stage,18-06-1990,1–1,Italy,1990,Gabi Balint · 68,['62&rsquor;|1:0|Pedro Monzón'],['68&rsquor;|1:1|Gabi Balint'],,,,,,,,,,,,,,,"['73&rsquor;|1:1|José Serrizuela', '86&rsquor;|1:1|Sergio Batista']","['4&rsquor;|0:0|Marius Lăcătuș', '8&rsquor;|0:0|Gheorghe Hagi', '32&rsquor;|0:0|Ioan Lupescu']","['53&rsquor;|0:0|Ricardo Giusti|for Pedro Troglio', '60&rsquor;|0:0|Gustavo Dezotti|for Jorge Burruchaga']","['72&rsquor;|1:1|Dănuț Lupu|for Gabi Balint', '82&rsquor;|1:1|Dorin Mateuț|for Ioan Sabău']"
Cameroon,Soviet Union,0,4,37307,"Stadio San Nicola, Bari",Group stage,18-06-1990,0–4,Italy,1990,Oleh Protasov · 20|Andrei Zygmantovich · 29|Oleksandr Zavarov · 52|Igor Dobrovolski · 63,,"['20&rsquor;|0:1|Oleh Protasov', '29&rsquor;|0:2|Andrei Zygmantovich', '52&rsquor;|0:3|Oleksandr Zavarov', '63&rsquor;|0:4|Igor Dobrovolski']",,,,,,,,,,,,,,,"['61&rsquor;|0:3|André Kana-Biyik', '66&rsquor;|0:4|Roger Milla']",['75&rsquor;|0:4|Oleh Protasov'],"['34&rsquor;|0:2|Roger Milla|for Emmanuel Kundé', '56&rsquor;|0:3|Jean-Claude Pagal|for Cyrille Makanaky']","['46&rsquor;|0:2|Oleksandr Zavarov|for Igor Shalimov', '72&rsquor;|0:4|Ivan Yaremchuk|for Hennadiy Lytovchenko']"
Republic of Ireland,Egypt,0,0,33288,"Della Favorita, Palermo",Group stage,17-06-1990,0–0,Italy,1990,,,,,,,,,,,,,,,,,,['51&rsquor;|0:0|Chris Morris'],['72&rsquor;|0:0|Ahmed Shobair'],"['64&rsquor;|0:0|Alan McLoughlin|for John Aldridge', '84&rsquor;|0:0|Niall Quinn']","['60&rsquor;|0:0|Taher Abouzeid|for Magdy Tolba', '76&rsquor;|0:0|Gamal Abdel-Hameed|for Ahmed El-Kass']"
Belgium,Uruguay,3,1,33759,"Marc Antonio Bentegodi, Verona",Group stage,17-06-1990,3–1,Italy,1990,Pablo Bengoechea · 73,"['15&rsquor;|1:0|Lei Clijsters', '24&rsquor;|2:0|Enzo Scifo', '47&rsquor;|3:0|Jan Ceulemans']",['73&rsquor;|3:1|Pablo Bengoechea'],,,,,,,,,,,,,Eric Gerets · 42,,['35&rsquor;|2:0|Eric Gerets'],['40&rsquor;|2:0|Rubén Sosa'],"['46&rsquor;|2:0|Marc Emmers|for Lei Clijsters', '73&rsquor;|3:1|Patrick Vervoort|for Bruno Versavel']","['46&rsquor;|2:0|Carlos Aguilera|for Antonio Alzamendi', '56&rsquor;|3:0|Pablo Bengoechea|for Santiago Ostolaza']"
Korea Republic,Spain,1,3,32733,"Dacia Arena, Udine",Group stage,17-06-1990,1–3,Italy,1990,Míchel · 23|Míchel · 61|Míchel · 81,['43&rsquor;|1:1|Hwangbo Kwan'],"['23&rsquor;|0:1|Míchel', '61&rsquor;|1:2|Míchel', '81&rsquor;|1:3|Míchel']",,,,,,,,,,,,,,,"['28&rsquor;|0:1|Chung Hae-won', '51&rsquor;|1:1|Yoon Deok-yeo', '68&rsquor;|1:2|Hwangbo Kwan']",,"['52&rsquor;|1:1|Noh Soo-jin|for Chung Hae-won', '68&rsquor;|1:2|Chung Jong-soo|for Park Kyung-hoon']","['76&rsquor;|1:2|Fernando Gómez Colomer|for Emilio Butragueño', '81&rsquor;|1:3|José Mari Bakero|for Roberto Fernández Bonillo']"
Brazil,Costa Rica,1,0,58007,"Stadio delle Alpi, Turin",Group stage,16-06-1990,1–0,Italy,1990,,['33&rsquor;|1:0|Müller'],,,,,,,,,,,,,,,,"['88&rsquor;|1:0|Jorginho', '90&rsquor;|1:0|Carlos Mozer']","['16&rsquor;|0:0|Claudio Jara', '59&rsquor;|1:0|Róger Gómez']","['83&rsquor;|1:0|Bebeto|for Careca', '86&rsquor;|1:0|Silas Pereira|for Valdo Filho']","['71&rsquor;|1:0|Roy Myers|for Claudio Jara', '78&rsquor;|1:0|Alexandre Guimarães|for Juan Cayasso']"
England,Netherlands,0,0,35267,"Sant Elia, Cagliari",Group stage,16-06-1990,0–0,Italy,1990,,,,,,,,,,,,,,,,,,,,"['59&rsquor;|0:0|Steve Bull|for Chris Waddle', '64&rsquor;|0:0|David Platt|for Bryan Robson']","[""74&rsquor;|0:0|Wim Kieft|for John van 't Schip""]"
Sweden,Scotland,1,2,31823,"Luigi Ferraris, Genoa",Group stage,16-06-1990,1–2,Italy,1990,Stuart McCall · 11,['86&rsquor;|1:2|Glenn Strömberg'],['11&rsquor;|0:1|Stuart McCall'],,,,Mo Johnston (P) · 81,,,,,,,,,,,['59&rsquor;|0:1|Jonas Thern'],['68&rsquor;|0:1|Dave McPherson'],"['62&rsquor;|0:1|Johnny Ekström|for Stefan Pettersson', '75&rsquor;|0:1|Glenn Strömberg|for Peter Larsson']","['75&rsquor;|0:1|Paul McStay|for Gordon Durie', '84&rsquor;|0:2|Ally McCoist|for Robert Fleck']"
Austria,Czechoslovakia,0,1,38962,"Comunale, Florence",Group stage,15-06-1990,0–1,Italy,1990,,,,,,,Michal Bílek (P) · 31,,,,,,,,,,,"['22&rsquor;|0:0|Robert Pecl', '71&rsquor;|0:1|Manfred Zsak', '85&rsquor;|0:1|Anton Pfeffer']","['52&rsquor;|0:1|Ľubomír Moravčík', '62&rsquor;|0:1|Luboš Kubík']","['46&rsquor;|0:1|Andreas Ogris|for Peter Schöttel', '46&rsquor;|0:1|Michael Streiter|for Kurt Russ']","['31&rsquor;|0:1|Július Bielik|for Jozef Chovanec', '82&rsquor;|0:1|Vladimír Weiss|for Ivo Knoflíček']"
West Germany,United Arab Emirates,5,1,71169,"Giuseppe Meazza, Milan",Group stage,15-06-1990,5–1,Italy,1990,Khalid Ismaïl · 46,"['35&rsquor;|1:0|Rudi Völler', '37&rsquor;|2:0|Jürgen Klinsmann', '47&rsquor;|3:1|Lothar Matthäus', '58&rsquor;|4:1|Uwe Bein', '75&rsquor;|5:1|Rudi Völler']",['46&rsquor;|2:1|Khalid Ismaïl'],,,,,,,,,,,,,,,['30&rsquor;|0:0|Andreas Brehme'],"['26&rsquor;|0:0|Yousuf Hussain', '30&rsquor;|0:0|Hussain Ghuloum']","['46&rsquor;|2:1|Pierre Littbarski|for Thomas Berthold', '72&rsquor;|4:1|Karl-Heinz Riedle|for Jürgen Klinsmann']","['82&rsquor;|5:1|Hassan Mohamed|for Khalid Ismaïl', '86&rsquor;|5:1|Abdulrahman Al-Haddad|for Ibrahim Meer']"
Yugoslavia,Colombia,1,0,32257,"Renato Dall Ara, Bologna",Group stage,14-06-1990,1–0,Italy,1990,,['75&rsquor;|1:0|Davor Jozić'],,,,,,,,,,,,,,,,['85&rsquor;|1:0|Dragan Stojković'],,"['46&rsquor;|0:0|Robert Jarni|for Srečko Katanec', '53&rsquor;|0:0|Darko Pančev|for Zlatko Vujović']","['68&rsquor;|0:0|Rubén Darío Hernández|for Freddy Rincón', '78&rsquor;|1:0|Carlos Estrada|for Bernardo Redín']"
Cameroon,Romania,2,1,38687,"Stadio San Nicola, Bari",Group stage,14-06-1990,2–1,Italy,1990,Gabi Balint · 88,"['76&rsquor;|1:0|Roger Milla', '86&rsquor;|2:0|Roger Milla']",['88&rsquor;|2:1|Gabi Balint'],,,,,,,,,,,,,,,"['20&rsquor;|0:0|Jules Onana', ""68&rsquor;|0:0|Thomas N'Kono""]",['44&rsquor;|0:0|Michael Klein'],"['59&rsquor;|0:0|Roger Milla|for Emmanuel Maboang', '69&rsquor;|0:0|Jean-Claude Pagal|for Emmanuel Kundé']","['56&rsquor;|0:0|Ilie Dumitrescu|for Gheorghe Hagi', '63&rsquor;|0:0|Gabi Balint|for Florin Răducioiu']"
Italy,United States,1,0,73423,"Stadio Olimpico, Rome",Group stage,14-06-1990,1–0,Italy,1990,,['11&rsquor;|1:0|Giuseppe Giannini'],,,,,,,,,,,,,,,,['68&rsquor;|1:0|Riccardo Ferri'],['62&rsquor;|1:0|Jimmy Banks'],['51&rsquor;|1:0|Salvatore Schillaci|for Andrea Carnevale'],"['80&rsquor;|1:0|John Stollmeyer|for Jimmy Banks', '82&rsquor;|1:0|Christopher Sullivan|for Bruce Murray']"
Uruguay,Spain,0,0,35713,"Dacia Arena, Udine",Group stage,13-06-1990,0–0,Italy,1990,,,,,,,,,,,,,,,,,,"['10&rsquor;|0:0|José Perdomo', '80&rsquor;|0:0|Enzo Francescoli']","['24&rsquor;|0:0|Manuel Jiménez Abalo', '68&rsquor;|0:0|Francisco Villarroya']","['65&rsquor;|0:0|Gabriel Correa|for Ruben Pereira', '65&rsquor;|0:0|Carlos Aguilera|for Antonio Alzamendi']","['79&rsquor;|0:0|Alberto Górriz', '79&rsquor;|0:0|Rafael Paz|for Manolo']"
Argentina,Soviet Union,2,0,55759,"San Paolo, Naples",Group stage,13-06-1990,2–0,Italy,1990,,"['27&rsquor;|1:0|Pedro Troglio', '79&rsquor;|2:0|Jorge Burruchaga']",,,,,,,,,,,,,Volodymyr Bezsonov · 48,,,"['55&rsquor;|1:0|José Serrizuela', '57&rsquor;|1:0|Claudio Caniggia', '70&rsquor;|1:0|Diego Maradona', '73&rsquor;|1:0|Jorge Burruchaga', '77&rsquor;|1:0|Pedro Monzón']",['51&rsquor;|1:0|Andrei Zygmantovich'],"['11&rsquor;|0:0|Sergio Goycochea|for Nery Pumpido', '78&rsquor;|1:0|Néstor Lorenzo|for Pedro Monzón']","['75&rsquor;|1:0|Hennadiy Lytovchenko|for Oleh Protasov', '80&rsquor;|2:0|Volodymyr Lyutyi|for Oleksandr Zavarov']"
Belgium,Korea Republic,2,0,32790,"Marc Antonio Bentegodi, Verona",Group stage,12-06-1990,2–0,Italy,1990,,"['53&rsquor;|1:0|Marc Degryse', '64&rsquor;|2:0|Michel De Wolf']",,,,,,,,,,,,,,,,,['39&rsquor;|0:0|Choi Soon-ho'],['46&rsquor;|0:0|Jan Ceulemans|for Marc Van Der Linden'],"['46&rsquor;|0:0|Cho Min-kook|for Lee Young-jin', '62&rsquor;|1:0|Lee Tae-ho|for Noh Soo-jin']"
Netherlands,Egypt,1,1,33288,"Della Favorita, Palermo",Group stage,12-06-1990,1–1,Italy,1990,,['58&rsquor;|1:0|Wim Kieft'],,,,,Magdi Abdelghani (P) · 83,,,,,,,,,,,['58&rsquor;|1:0|Wim Kieft'],['55&rsquor;|0:0|Ahmed Ramzy'],"['46&rsquor;|0:0|Wim Kieft|for Gerald Vanenburg', '70&rsquor;|1:0|Richard Witschge']","['70&rsquor;|1:0|Magdy Tolba|for Ahmed Ramzy', '70&rsquor;|1:0|Adel Abdelrahman|for Gamal Abdel-Hameed']"
Costa Rica,Scotland,1,0,30867,"Luigi Ferraris, Genoa",Group stage,11-06-1990,1–0,Italy,1990,,['49&rsquor;|1:0|Juan Cayasso'],,,,,,,,,,,,,,,,,,['86&rsquor;|1:0|Hernán Medford|for Claudio Jara'],"['46&rsquor;|0:0|Stewart McKimmie|for Richard Gough', '73&rsquor;|1:0|Ally McCoist|for Jim Bett']"
England,Republic of Ireland,1,1,35238,"Sant Elia, Cagliari",Group stage,11-06-1990,1–1,Italy,1990,Kevin Sheedy · 73,['9&rsquor;|1:0|Gary Lineker'],['73&rsquor;|1:1|Kevin Sheedy'],,,,,,,,,,,,,,,['75&rsquor;|1:1|Steve McMahon'],,"['69&rsquor;|1:0|Steve McMahon|for Peter Beardsley', '83&rsquor;|1:1|Steve Bull|for Gary Lineker']",['64&rsquor;|1:0|Alan McLoughlin|for John Aldridge']
United States,Czechoslovakia,1,5,33266,"Comunale, Florence",Group stage,10-06-1990,1–5,Italy,1990,Tomáš Skuhravý · 26|Ivan Hašek · 50|Tomáš Skuhravý · 78|Milan Luhový · 90,['60&rsquor;|1:3|Paul Caligiuri'],"['26&rsquor;|0:1|Tomáš Skuhravý', '50&rsquor;|0:3|Ivan Hašek', '78&rsquor;|1:4|Tomáš Skuhravý', '90&rsquor;|1:5|Milan Luhový']",,,,Michal Bílek (P) · 40,,,,,,,Eric Wynalda · 52,,,,"['39&rsquor;|0:1|Tony Meola', '44&rsquor;|0:2|Steve Trittschuh']","['30&rsquor;|0:1|Luboš Kubík', '62&rsquor;|1:3|Miroslav Kadlec']","['64&rsquor;|1:3|Marcelo Balboa|for John Stollmeyer', '77&rsquor;|1:3|Christopher Sullivan|for Bruce Murray']","['76&rsquor;|1:3|Milan Luhový|for Ivo Knoflíček', '83&rsquor;|1:4|Vladimír Weiss|for Ľubomír Moravčík']"
West Germany,Yugoslavia,4,1,74765,"Giuseppe Meazza, Milan",Group stage,10-06-1990,4–1,Italy,1990,Davor Jozić · 55,"['28&rsquor;|1:0|Lothar Matthäus', '39&rsquor;|2:0|Jürgen Klinsmann', '64&rsquor;|3:1|Lothar Matthäus', '70&rsquor;|4:1|Rudi Völler']",['55&rsquor;|2:1|Davor Jozić'],,,,,,,,,,,,,,,['6&rsquor;|0:0|Andreas Brehme'],,"['75&rsquor;|4:1|Pierre Littbarski|for Uwe Bein', '75&rsquor;|4:1|Andreas Möller|for Thomas Häßler']","['55&rsquor;|2:1|Dragoljub Brnović|for Dejan Savićević', '55&rsquor;|2:1|Robert Prosinečki|for Safet Sušić']"
Brazil,Sweden,2,1,62628,"Stadio delle Alpi, Turin",Group stage,10-06-1990,2–1,Italy,1990,Tomas Brolin · 79,"['40&rsquor;|1:0|Careca', '63&rsquor;|2:0|Careca']",['79&rsquor;|2:1|Tomas Brolin'],,,,,,,,,,,,,,,"['38&rsquor;|0:0|Carlos Mozer', '60&rsquor;|1:0|Branco', '88&rsquor;|2:1|Dunga']",['83&rsquor;|2:1|Joakim Nilsson'],['82&rsquor;|2:1|Silas Pereira|for Valdo Filho'],"['46&rsquor;|1:0|Stefan Pettersson|for Mats Magnusson', '70&rsquor;|2:0|Glenn Strömberg|for Roger Ljung']"
United Arab Emirates,Colombia,0,2,30791,"Renato Dall Ara, Bologna",Group stage,09-06-1990,0–2,Italy,1990,Bernardo Redín · 50|Carlos Valderrama · 85,,"['50&rsquor;|0:1|Bernardo Redín', '85&rsquor;|0:2|Carlos Valderrama']",,,,,,,,,,,,,,,"['5&rsquor;|0:0|Eissa Meer', '55&rsquor;|0:1|Yousuf Hussain', '70&rsquor;|0:1|Ibrahim Meer']",,"['57&rsquor;|0:1|Zuhair Bakheet|for Fahad Khamees', '74&rsquor;|0:1|Abdullah Ali Sultan|for Eissa Meer']",['75&rsquor;|0:1|Carlos Estrada']
Soviet Union,Romania,0,2,42907,"Stadio San Nicola, Bari",Group stage,09-06-1990,0–2,Italy,1990,Marius Lăcătuș · 41,,['41&rsquor;|0:1|Marius Lăcătuș'],,,,Marius Lăcătuș (P) · 55,,,,,,,,,,,['11&rsquor;|0:0|Vagiz Khidiyatullin'],['44&rsquor;|0:1|Marius Lăcătuș'],"['66&rsquor;|0:2|Ivan Yaremchuk|for Hennadiy Lytovchenko', '71&rsquor;|0:2|Aleksandr Borodyuk|for Igor Dobrovolski']","['80&rsquor;|0:2|Gabi Balint', '87&rsquor;|0:2|Ilie Dumitrescu|for Marius Lăcătuș']"
Italy,Austria,1,0,73303,"Stadio Olimpico, Rome",Group stage,09-06-1990,1–0,Italy,1990,,['78&rsquor;|1:0|Salvatore Schillaci'],,,,,,,,,,,,,,,,,['6&rsquor;|0:0|Andreas Herzog'],"['46&rsquor;|0:0|Luigi De Agostini|for Carlo Ancelotti', '75&rsquor;|0:0|Salvatore Schillaci|for Andrea Carnevale']","['61&rsquor;|0:0|Manfred Zsak|for Peter Artner', '77&rsquor;|0:0|Alfred Hörtnagl|for Manfred Linzmaier']"
Argentina,Cameroon,0,1,73780,"Giuseppe Meazza, Milan",Group stage,08-06-1990,0–1,Italy,1990,François Omam-Biyik · 67,,['67&rsquor;|0:1|François Omam-Biyik'],,,,,,,,,,,,André Kana-Biyik · 61|Benjamin Massing · 88,,,['27&rsquor;|0:0|Roberto Sensini'],"['9&rsquor;|0:0|Benjamin Massing', ""23&rsquor;|0:0|Victor N'Dip"", '53&rsquor;|0:0|Émile Mbouh']","['46&rsquor;|0:0|Claudio Caniggia|for Oscar Ruggeri', '69&rsquor;|0:1|Gabriel Calderón|for Roberto Sensini']","[""66&rsquor;|0:0|Thomas Libiih|for Louis-Paul M'Fédé"", '81&rsquor;|0:1|Roger Milla|for Cyrille Makanaky']"
Argentina,West Germany,3,2,114600,"Estadio Azteca, Mexico City",Final,29-06-1986,3–2,Mexico,1986,Karl-Heinz Rummenigge · 74|Rudi Völler · 81,"['23&rsquor;|1:0|José Luis Brown', '56&rsquor;|2:0|Jorge Valdano', '84&rsquor;|3:2|Jorge Burruchaga']","['74&rsquor;|2:1|Karl-Heinz Rummenigge', '81&rsquor;|2:2|Rudi Völler']",,,,,,,,,,,,,,,"['17&rsquor;|0:0|Diego Maradona', '77&rsquor;|2:1|Julio Olarticoechea', '81&rsquor;|2:2|Héctor Enrique', '85&rsquor;|3:2|Nery Pumpido']","['21&rsquor;|0:0|Lothar Matthäus', '62&rsquor;|2:0|Hans-Peter Briegel']",['90&rsquor;|3:2|Marcelo Trobbiani|for Jorge Burruchaga'],"['46&rsquor;|1:0|Rudi Völler|for Klaus Allofs', '62&rsquor;|2:0|Dieter Hoeneß|for Felix Magath']"
France,Belgium,4,2,21000,"Cuauhtemoc, Puebla",Third-place match,28-06-1986,4–2,Mexico,1986,Jan Ceulemans · 11|Nico Claesen · 73,"['27&rsquor;|1:1|Jean-Marc Ferreri', '43&rsquor;|2:1|Jean-Pierre Papin', '104&rsquor;|3:2|Bernard Genghini']","['11&rsquor;|0:1|Jan Ceulemans', '73&rsquor;|2:2|Nico Claesen']",,,Manuel Amoros (P) · 111,,,,,,,,,,,,,['63&rsquor;|2:1|Jean-Marie Pfaff'],"['55&rsquor;|2:1|Maxime Bossis|for Yvon Le Roux', '83&rsquor;|2:2|Thierry Tusseau|for Jean Tigana']","['46&rsquor;|2:1|Franky Van der Elst|for Michel Renquin', '64&rsquor;|2:1|Leo Van der Elst']"
France,West Germany,0,2,45000,"Jalisco, Guadalajara",Semi-finals,25-06-1986,0–2,Mexico,1986,Andreas Brehme · 9|Rudi Völler · 90,,"['9&rsquor;|0:1|Andreas Brehme', '90&rsquor;|0:2|Rudi Völler']",,,,,,,,,,,,,,,['89&rsquor;|0:1|Luis Fernández'],['59&rsquor;|0:1|Felix Magath'],"['66&rsquor;|0:1|Daniel Xuereb|for Bruno Bellone', '72&rsquor;|0:1|Philippe Vercruysse|for Alain Giresse']",['57&rsquor;|0:1|Rudi Völler|for Karl-Heinz Rummenigge']
Argentina,Belgium,2,0,114500,"Estadio Azteca, Mexico City",Semi-finals,25-06-1986,2–0,Mexico,1986,,"['51&rsquor;|1:0|Diego Maradona', '63&rsquor;|2:0|Diego Maradona']",,,,,,,,,,,,,,,,['33&rsquor;|0:0|Jorge Valdano'],['27&rsquor;|0:0|Daniel Veyt'],['85&rsquor;|2:0|Ricardo Bochini|for Jorge Burruchaga'],['54&rsquor;|1:0|Philippe Desmet|for Michel Renquin']
Argentina,England,2,1,114580,"Estadio Azteca, Mexico City",Quarter-finals,22-06-1986,2–1,Mexico,1986,Gary Lineker · 81,"['51&rsquor;|1:0|Diego Maradona', '55&rsquor;|2:0|Diego Maradona']",['81&rsquor;|2:1|Gary Lineker'],,,,,,,,,,,,,,,['60&rsquor;|2:0|Sergio Batista'],['9&rsquor;|0:0|Terry Fenwick'],['75&rsquor;|2:0|Carlos Daniel Tapia'],"['69&rsquor;|2:0|Chris Waddle|for Peter Reid', '74&rsquor;|2:0|John Barnes|for Trevor Steven']"
Spain,Belgium,1,1,45000,"Cuauhtemoc, Puebla",Quarter-finals,22-06-1986,(4) 1–1 (5),Mexico,1986,Jan Ceulemans · 35,['85&rsquor;|1:1|Juan Antonio Señor'],['35&rsquor;|0:1|Jan Ceulemans'],,,,,,,"['1|1:0|Juan Antonio Señor', '5|2:2|Chendo', '7|3:3|Emilio Butragueño', '9|4:4|Víctor Muñoz']","['2|1:1|Nico Claesen', '4|1:2|Enzo Scifo', '6|2:3|Hugo Broos', '8|3:4|Patrick Vervoort', '10|4:5|Leo Van der Elst']",['3|1:1|Eloy Olaya'],,,,,,"['39&rsquor;|0:1|Tomás Reñones', '44&rsquor;|0:1|Ramón Calderé']","['24&rsquor;|0:0|Stéphane Demol', '115&rsquor;|1:1|Georges Grün']","['46&rsquor;|0:1|Juan Antonio Señor|for Tomás Reñones', '63&rsquor;|0:1|Eloy Olaya|for Julio Salinas']","['82&rsquor;|0:1|Hugo Broos', '105&rsquor;|1:1|Leo Van der Elst|for Franky Vercauteren']"
Brazil,France,1,1,65000,"Jalisco, Guadalajara",Quarter-finals,21-06-1986,(3) 1–1 (4),Mexico,1986,Michel Platini · 41,['17&rsquor;|1:0|Careca'],['41&rsquor;|1:1|Michel Platini'],,,,,,,"['3|1:1|Alemão', '5|2:2|Zico', '7|3:3|Branco']","['2|0:1|Yannick Stopyra', '4|1:2|Manuel Amoros', '6|2:3|Bruno Bellone', '10|3:4|Luis Fernández']","['1|0:0|Sócrates', '9|3:3|Júlio César']",['8|3:3|Michel Platini'],,,,,,,"['71&rsquor;|1:1|Zico|for Müller', '91&rsquor;|1:1|Silas Pereira|for Leovegildo Lins da Gama Júnior']","['84&rsquor;|1:1|Jean-Marc Ferreri|for Alain Giresse', '99&rsquor;|1:1|Bruno Bellone']"
West Germany,Mexico,0,0,41700,"Estadio Universitario, Monterrey",Quarter-finals,21-06-1986,(4) 0–0 (1),Mexico,1986,,,,,,,,,,"['1|1:0|Klaus Allofs', '3|2:1|Andreas Brehme', '5|3:1|Lothar Matthäus', '7|4:1|Pierre Littbarski']",['2|1:1|Manuel Negrete Arias'],,"['4|2:1|Fernando Quirarte', '6|3:1|Raúl Servín']",Thomas Berthold · 65,Javier Aguirre · 100,,,"['27&rsquor;|0:0|Klaus Allofs', '56&rsquor;|0:0|Karlheinz Förster', '86&rsquor;|0:0|Lothar Matthäus']","['20&rsquor;|0:0|Javier Aguirre', '27&rsquor;|0:0|Fernando Quirarte', '75&rsquor;|0:0|Carlos de los Cobos', '83&rsquor;|0:0|Raúl Servín', '94&rsquor;|0:0|Hugo Sánchez']","['58&rsquor;|0:0|Dieter Hoeneß|for Karl-Heinz Rummenigge', '115&rsquor;|0:0|Pierre Littbarski|for Norbert Eder']","['32&rsquor;|0:0|Carlos de los Cobos|for Tomás Boy', '70&rsquor;|0:0|Francisco Javier Cruz|for Rafael Amador']"
England,Paraguay,3,0,98728,"Estadio Azteca, Mexico City",Round of 16,18-06-1986,3–0,Mexico,1986,,"['31&rsquor;|1:0|Gary Lineker', '56&rsquor;|2:0|Peter Beardsley', '72&rsquor;|3:0|Gary Lineker']",,,,,,,,,,,,,,,,"['37&rsquor;|1:0|Alvin Martin', '67&rsquor;|2:0|Steve Hodge']",['60&rsquor;|2:0|Jorge Amado Nunes'],"['58&rsquor;|2:0|Gary Stevens|for Peter Reid', '80&rsquor;|3:0|Mark Hateley|for Peter Beardsley']",['64&rsquor;|2:0|Jorge Guasch|for Juan Torales']
Denmark,Spain,1,5,38500,"Estadio Corregidora, Queretaro",Round of 16,18-06-1986,1–5,Mexico,1986,Emilio Butragueño · 43|Emilio Butragueño · 57|Emilio Butragueño · 80,,"['43&rsquor;|1:1|Emilio Butragueño', '57&rsquor;|1:2|Emilio Butragueño', '80&rsquor;|1:4|Emilio Butragueño']",,,Jesper Olsen (P) · 33,Andoni Goikoetxea (P) · 68|Emilio Butragueño (P) · 89,,,,,,,,,,,['26&rsquor;|0:0|Henrik Andersen'],"['27&rsquor;|0:0|Andoni Goikoetxea', '32&rsquor;|0:0|José Antonio Camacho', '60&rsquor;|1:2|Míchel']","['60&rsquor;|1:2|John Eriksen', '71&rsquor;|1:3|Jan Mølby|for Jesper Olsen']","['46&rsquor;|1:1|Eloy Olaya|for Julio Salinas', '83&rsquor;|1:4|Francisco|for Míchel']"
Italy,France,0,2,70000,"Estadio Olï¿½mpico Universitario, Mexico City",Round of 16,17-06-1986,0–2,Mexico,1986,Michel Platini · 15|Yannick Stopyra · 57,,"['15&rsquor;|0:1|Michel Platini', '57&rsquor;|0:2|Yannick Stopyra']",,,,,,,,,,,,,,,"['16&rsquor;|0:1|Fernando De Napoli', '67&rsquor;|0:2|Antonio Di Gennaro']",['40&rsquor;|0:1|William Ayache'],"['46&rsquor;|0:1|Antonio Di Gennaro|for Giuseppe Baresi', '58&rsquor;|0:2|Gianluca Vialli|for Giuseppe Galderisi']","['73&rsquor;|0:2|Thierry Tusseau|for Luis Fernández', '85&rsquor;|0:2|Jean-Marc Ferreri|for Michel Platini']"
Morocco,West Germany,0,1,19800,"Estadio Universitario, Monterrey",Round of 16,17-06-1986,0–1,Mexico,1986,Lothar Matthäus · 88,,['88&rsquor;|0:1|Lothar Matthäus'],,,,,,,,,,,,,,,"['29&rsquor;|0:0|Abdelmajid Lamriss', '65&rsquor;|0:0|Labid Khalifa']",,,['73&rsquor;|0:0|Pierre Littbarski|for Rudi Völler']
Brazil,Poland,4,0,45000,"Jalisco, Guadalajara",Round of 16,16-06-1986,4–0,Mexico,1986,,"['55&rsquor;|2:0|Josimar', '79&rsquor;|3:0|Edinho']",,,,Sócrates (P) · 30|Careca (P) · 83,,,,,,,,,,,,"['36&rsquor;|1:0|Careca', '83&rsquor;|4:0|Edinho']","['13&rsquor;|0:0|Dariusz Dziekanowski', '30&rsquor;|1:0|Zbigniew Boniek', '32&rsquor;|1:0|Włodzimierz Smolarek']","['69&rsquor;|2:0|Zico', '73&rsquor;|2:0|Silas Pereira|for Müller']","['59&rsquor;|2:0|Jan Furtok|for Kazimierz Przybyś', '83&rsquor;|4:0|Władysław Żmuda|for Jan Urban']"
Argentina,Uruguay,1,0,26000,"Cuauhtemoc, Puebla",Round of 16,16-06-1986,1–0,Mexico,1986,,['42&rsquor;|1:0|Pedro Pasculli'],,,,,,,,,,,,,,,,"['30&rsquor;|0:0|Oscar Garré', '49&rsquor;|1:0|José Luis Brown', '83&rsquor;|1:0|Nery Pumpido']","['35&rsquor;|0:0|Enzo Francescoli', '58&rsquor;|1:0|Eduardo Acevedo', '68&rsquor;|1:0|Sergio Santín', '85&rsquor;|1:0|Jorge Orosmán da Silva']",['85&rsquor;|1:0|Julio Olarticoechea|for Sergio Batista'],"['46&rsquor;|1:0|Jorge Orosmán da Silva|for Wilmar Cabrera', '61&rsquor;|1:0|Rubén Paz|for Eduardo Acevedo']"
