Name,Unnamed: 0_2010,Unnamed: 0_2014,Unnamed: 0_2018,Unnamed: 0_2022,ID_2010,ID_2014,ID_2018,ID_2022,Formation_2010,Formation_2014,Formation_2018,Formation_2022,Overall_2010,Overall_2014,Overall_2018,Overall_2022,Attack_2010,Attack_2014,Attack_2018,Attack_2022,Midfield_2010,Midfield_2014,Midfield_2018,Midfield_2022,Defence_2010,Defence_2014,Defence_2018,Defence_2022,Speed_2010,Speed_2014,Speed_2018,Speed_2022,Dribbling_2010,Dribbling_2014,Dribbling_2018,Dribbling_2022,Passing_2010,Passing_2014,Passing_2018,Passing_2022,Positioning_2010,Positioning_2014,Positioning_2018,Positioning_2022,Crossing_2010,Crossing_2014,Crossing_2018,Crossing_2022,Passing.1_2010,Passing.1_2014,Passing.1_2018,Passing.1_2022,Shooting_2010,Shooting_2014,Shooting_2018,Shooting_2022,Positioning.1_2010,Positioning.1_2014,Positioning.1_2018,Positioning.1_2022,Aggression_2010,Aggression_2014,Aggression_2018,Aggression_2022,Pressure_2010,Pressure_2014,Pressure_2018,Pressure_2022,Defender line_2010,Defender line_2014,Defender line_2018,Defender line_2022,Domestic prestige_2010,Domestic prestige_2014,Domestic prestige_2018,Domestic prestige_2022,International prestige_2010,International prestige_2014,International prestige_2018,International prestige_2022,Players_2010,Players_2014,Players_2018,Players_2022,Starting XI average age_2010,Starting XI average age_2014,Starting XI average age_2018,Starting XI average age_2022,Whole team average age_2010,Whole team average age_2014,Whole team average age_2018,Whole team average age_2022,Unnamed: 24_2010,Unnamed: 24_2014,Unnamed: 24_2018,Unnamed: 24_2022,Rank,Total Points,Previous Points,+/-,Match window,Appearances,Matches Played,Wins,Draws,Losses,Goals For,Goals Against,Goal Difference,Points
saudi arabia  afc,,,,,,,111114,,,,4-2-3-1 Wide,,,,72,,,,73,,,,72,,,,73,,,,Fast,,,,Lots,,,,Mixed,,,,Organised,,,,Normal,,,,Risky,,,,Lots,,,,Organised,,,,Press,,,,Medium,,,,Cover,,,,10,,,,4,,,,23,,,,29.55,,,,27.17,,,,,,,,,,,,,,,,,,,
scotland  uefa,,,,,1359,1359,1359,1359,4-4-1-1 Attack,4-2-3-1 Wide,4-2-3-1 Wide,5-2-1-2,75,73,74,76,73,75,75,73,73,74,74,76,72,68,74,77,Fast,Balanced,Balanced,Slow,Little,Normal,Normal,Little,Long,Mixed,Mixed,Short,Organised,Organised,Organised,Organised,Lots,Normal,Normal,Little,Normal,Normal,Normal,Safe,Lots,Normal,Normal,Little,Organised,Organised,Organised,Organised,Double,Press,Press,Contain,Medium,Medium,Medium,Deep,Cover,Cover,Cover,Cover,20,20,10,10,11,9,4,4,30,23,23,23,26.82,26.0,26.18,25.82,26.6,26.83,25.83,26.17,,,,,,,,,,,,,,,,,,
slovenia  uefa,,,,,1361,1361,1361,,4-4-2 Flat,4-2-3-1 Wide,4-2-3-1 Wide,,70,73,75,,70,71,72,,67,73,76,,67,71,72,,Fast,Balanced,Balanced,,Little,Normal,Little,,Long,Mixed,Mixed,,Organised,Organised,Organised,,Normal,Lots,Normal,,Normal,Normal,Normal,,Lots,Normal,Normal,,Organised,Organised,Organised,,Double,Press,Press,,Medium,Medium,High,,Cover,Cover,Cover,,20,20,10,,5,10,5,,30,23,23,,25.64,26.36,27.09,,25.67,26.17,25.96,,,,,,,,,,,,,,,,,,,
south africa  caf,,,,,111099,111099,111099,,4-1-2-1-2 Wide,4-2-3-1 Wide,4-3-3 Defend,,72,69,71,,70,65,72,,71,69,70,,67,69,70,,Fast,Balanced,Balanced,,Little,Lots,Normal,,Long,Mixed,Mixed,,Organised,Organised,Organised,,Normal,Normal,Lots,,Normal,Normal,Normal,,Lots,Normal,Normal,,Organised,Organised,Organised,,Double,Press,Press,,High,Medium,Deep,,Cover,Cover,Cover,,20,20,10,,8,8,4,,27,23,23,,26.64,23.27,25.36,,26.96,22.78,24.35,,,,,,,,,,,,,,,,,,,
spain  uefa,,,,,1362,1362,1362,1362,4-4-2 Flat,4-3-3 Attack,4-3-3 Attack,4-3-3 Holding,85,84,85,84,83,86,84,83,83,84,86,85,82,82,85,83,Balanced,Balanced,Slow,Slow,Little,Normal,Normal,Little,Short,Mixed,Short,Short,Free form,Organised,Organised,Organised,Normal,Normal,Little,Little,Risky,Normal,Safe,Safe,Normal,Normal,Little,Little,Free form,Free form,Free form,Organised,Press,Press,Press,Contain,Medium,Medium,High,Deep,Cover,Cover,Cover,Cover,20,20,10,10,19,20,9,9,30,23,23,23,26.45,26.09,26.36,25.55,25.17,24.74,25.91,26.48,,,,,,,,,,,,,,,,,,
sweden  uefa,,,,,1363,1363,1363,1363,4-2-3-1 Narrow,4-3-3 Holding,4-4-2 Flat,4-3-3 Attack,77,75,75,76,78,77,76,78,73,74,75,75,74,74,75,76,Balanced,Balanced,Balanced,Slow,Little,Normal,Normal,Little,Mixed,Short,Mixed,Short,Organised,Organised,Organised,Organised,Lots,Normal,Normal,Little,Risky,Safe,Normal,Safe,Lots,Lots,Normal,Little,Organised,Organised,Organised,Organised,Double,Press,Press,Contain,Medium,Medium,Medium,Deep,Cover,Cover,Cover,Cover,20,20,10,10,11,11,5,5,30,23,23,23,26.27,27.64,27.91,25.45,25.67,26.7,26.43,26.87,,,,,,,,,,,,,,,,,,
switzerland  uefa,,,,,1364,1364,1364,,4-4-2 Flat,4-2-3-1 Narrow,4-2-3-1 Narrow,,76,76,78,,74,74,74,,74,76,77,,73,77,78,,Balanced,Balanced,Balanced,,Little,Normal,Normal,,Mixed,Mixed,Mixed,,Organised,Organised,Organised,,Normal,Normal,Normal,,Risky,Normal,Normal,,Lots,Normal,Normal,,Organised,Organised,Organised,,Press,Press,Press,,Medium,Medium,Medium,,Cover,Cover,Cover,,20,20,10,,11,11,5,,30,23,23,,26.55,23.64,26.64,,25.7,24.17,25.7,,,,,,,,,,,,,,,,,,,
türkiye  uefa,,,,,1365,1365,1365,,4-4-2 Flat,4-4-2 Flat,4-2-3-1 Wide,,78,78,76,,77,76,78,,77,79,77,,74,76,74,,Fast,Balanced,Balanced,,Little,Normal,Normal,,Mixed,Mixed,Mixed,,Organised,Organised,Organised,,Lots,Normal,Normal,,Risky,Normal,Safe,,Lots,Normal,Normal,,Organised,Organised,Organised,,Double,Press,Press,,Medium,Medium,Medium,,Cover,Cover,Cover,,20,20,10,,14,14,6,,30,23,23,,26.91,25.27,24.91,,25.47,25.83,24.65,,,,,,,,,,,,,,,,,,,
ukraine  uefa,,,,,1366,,,1366,4-4-2 Flat,,,4-1-4-1,76,,,76,73,,,76,72,,,77,70,,,74,Balanced,,,Slow,Little,,,Little,Long,,,Short,Organised,,,Organised,Lots,,,Little,Normal,,,Safe,Lots,,,Little,Organised,,,Organised,Double,,,Contain,Medium,,,Deep,Cover,,,Cover,20,,,10,14,,,6,30,,,23,25.82,,,25.64,26.0,,,26.35,,,,,,,,,,,,,,,,,,
united states  concacaf,,,,,1387,1387,1387,1387,4-4-2 Flat,4-4-2 Flat,4-3-3 Holding,4-3-3 Holding,74,74,74,75,72,75,72,75,71,72,73,75,70,71,74,75,Fast,Balanced,Balanced,Slow,Little,Normal,Normal,Little,Mixed,Mixed,Mixed,Short,Free form,Organised,Organised,Organised,Normal,Normal,Normal,Little,Safe,Normal,Risky,Safe,Normal,Normal,Normal,Little,Free form,Organised,Organised,Organised,Press,Press,Double,Contain,High,Medium,Medium,Deep,Cover,Cover,Cover,Cover,20,20,10,10,12,12,6,6,30,23,23,23,25.82,27.45,22.91,22.18,25.4,25.83,23.87,23.39,,,,,,,,,,,,,,,,,,
uruguay  conmebol,,,,,1377,1377,1377,,3-5-2,4-4-2 Holding,4-4-2 Flat,,78,76,81,,76,82,86,,70,75,76,,74,76,79,,Fast,Fast,Balanced,,Little,Normal,Normal,,Mixed,Mixed,Mixed,,Free form,Organised,Organised,,Lots,Little,Normal,,Normal,Normal,Risky,,Lots,Lots,Normal,,Free form,Organised,Organised,,Press,Press,Double,,Deep,Deep,Medium,,Cover,Cover,Cover,,20,20,10,,11,12,7,,30,23,23,,24.45,28.09,26.27,,25.73,27.22,26.61,,,,,,,,,,,,,,,,,,,
venezuela  conmebol,,,,,,111487,111487,,,4-4-2 Holding,4-4-2 Flat,,,71,73,,,72,77,,,69,73,,,72,70,,,Slow,Fast,,,Normal,Normal,,,Short,Long,,,Organised,Organised,,,Little,Normal,,,Safe,Normal,,,Little,Normal,,,Organised,Organised,,,Press,Press,,,Deep,Deep,,,Cover,Cover,,,20,10,,,5,2,,,23,23,,,28.09,23.82,,,26.96,23.91,,,,,,,,,,,,,,,,,,,
wales  uefa,,,,,,1367,1367,1367,,4-2-3-1 Wide,3-4-2-1,4-2-3-1 Wide,,73,74,74,,70,82,74,,74,71,74,,72,77,72,,Balanced,Fast,Slow,,Little,Normal,Little,,Mixed,Long,Short,,Organised,Organised,Organised,,Normal,Normal,Little,,Normal,Normal,Safe,,Normal,Lots,Little,,Organised,Organised,Organised,,Press,Press,Contain,,Medium,Medium,Deep,,Cover,Cover,Cover,,20,10,10,,8,4,4,,23,23,23,,24.64,27.82,27.27,,25.13,25.78,25.78,,,,,,,,,,,,,,,,,,
