Rank,Team,Total Points,Previous Points,+/-,Match window,Appearances,Matches Played,Wins,Draws,Losses,Goals For,Goals Against,Goal Difference,Points,ID_2010,ID_2014,ID_2018,ID_2022,Formation_2010,Formation_2014,Formation_2018,Formation_2022,Overall_2010,Overall_2014,Overall_2018,Overall_2022,Attack_2010,Attack_2014,Attack_2018,Attack_2022,Midfield_2010,Midfield_2014,Midfield_2018,Midfield_2022,Defence_2010,Defence_2014,Defence_2018,Defence_2022,Speed_2010,Speed_2014,Speed_2018,Speed_2022,Dribbling_2010,Dribbling_2014,Dribbling_2018,Dribbling_2022,Passing_2010,Passing_2014,Passing_2018,Passing_2022,Positioning_2010,Positioning_2014,Positioning_2018,Positioning_2022,Crossing_2010,Crossing_2014,Crossing_2018,Crossing_2022,Passing.1_2010,Passing.1_2014,Passing.1_2018,Passing.1_2022,Shooting_2010,Shooting_2014,Shooting_2018,Shooting_2022,Aggression_2010,Aggression_2014,Aggression_2018,Aggression_2022,Pressure_2010,Pressure_2014,Pressure_2018,Pressure_2022,Defender line_2010,Defender line_2014,Defender line_2018,Defender line_2022,Domestic prestige_2010,Domestic prestige_2014,Domestic prestige_2018,Domestic prestige_2022,International prestige_2010,International prestige_2014,International prestige_2018,International prestige_2022,Players_2010,Players_2014,Players_2018,Players_2022,Starting XI average age_2010,Starting XI average age_2014,Starting XI average age_2018,Starting XI average age_2022,Whole team average age_2010,Whole team average age_2014,Whole team average age_2018,Whole team average age_2022,yc_2010,yc_2014,yc_2018,yc_2022,rc_2010,rc_2014,rc_2018,rc_2022,Points_2010,Points_2014,Points_2018,Points_2022
34,Wales,1518.81,1529.09,-10.28,LL,2,8,1,4,3,5,10,-5,7,1358,1367,1367,1367,4-4-2 Flat,4-2-3-1 Wide,3-4-2-1,4-2-3-1 Wide,76.5,73,74,74,75,70,82,74,74,74,71,74,74,72,77,72,Fast,Balanced,Fast,Slow,Little,Little,Normal,Little,Mixed,Mixed,Long,Short,Organised,Organised,Organised,Organised,Normal,Normal,Normal,Little,Normal,Normal,Normal,Safe,Lots,Normal,Lots,Little,Press,Press,Press,Contain,Medium,Medium,Medium,Deep,Cover,Cover,Cover,Cover,20,20,10,10,12.5,8,4,4,30,23,23,23,26.865,24.64,27.82,27.27,26.35,25.13,25.78,25.78,5,5,5,5,1,1,1,1,8,8,8,8
35,Algeria,1510.26,1500.74,9.52,WW,4,13,3,3,7,13,19,-6,12,1358,1362,1363,1356,4-4-2 Flat,4-2-3-1 Wide,4-2-3-1 Wide,4-3-3 Holding,76.5,75,77,77,75,76,79,79,74,74,77,78,74,74,76,77,Fast,Balanced,Balanced,Slow,Little,Normal,Normal,Little,Mixed,Mixed,Mixed,Short,Organised,Organised,Organised,Organised,Normal,Normal,Normal,Little,Normal,Normal,Normal,Safe,Lots,Normal,Normal,Little,Press,Press,Press,Contain,Medium,Medium,Medium,Deep,Cover,Cover,Cover,Cover,20,20,10,10,12.5,12,6,6,30,23,23,23,26.865,25.91,26.55,26.45,26.35,25.17,26.04,26.26,4,6,6,6,2,0,0,0,10,6,6,6
36,Serbia,1507.84,1520.9,-13.06,WL,13,49,18,9,22,71,71,0,63,1358,1362,1363,1356,4-4-2 Flat,4-2-3-1 Wide,4-2-3-1 Wide,4-3-3 Holding,76.5,75,77,77,75,76,79,79,74,74,77,78,74,74,76,77,Fast,Balanced,Balanced,Slow,Little,Normal,Normal,Little,Mixed,Mixed,Mixed,Short,Organised,Organised,Organised,Organised,Normal,Normal,Normal,Little,Normal,Normal,Normal,Safe,Lots,Normal,Normal,Little,Press,Press,Press,Contain,Medium,Medium,Medium,Deep,Cover,Cover,Cover,Cover,20,20,10,10,12.5,12,6,6,30,23,23,23,26.865,25.91,26.55,26.45,26.35,25.17,26.04,26.26,8,9,10,12,1,0,0,0,11,11,11,12
37,Hungary,1504.92,1492.18,12.74,DW,9,32,15,3,14,87,57,30,48,1886,1886,1886,1886,4-2-3-1 Narrow,3-4-2-1,3-4-3 Flat,05-02-2003,72,69,71,73,69,69,73,74,72,67,69,69,66,67,71,73,Fast,Balanced,Fast,Slow,Little,Normal,Normal,Little,Long,Mixed,Mixed,Short,Organised,Organised,Organised,Organised,Normal,Lots,Normal,Little,Normal,Normal,Normal,Safe,Lots,Normal,Lots,Little,Double,Press,Press,Contain,Medium,Medium,Medium,Deep,Cover,Cover,Cover,Cover,20,20,10,10,7,7,4,4,29,23,23,23,26.73,26.09,27,26.27,27.38,24.61,26.57,26.04,1,10,2,3,3,3,6,10,1,4,2,1
38,Scotland,1504.2,1485.08,19.12,WW,8,23,4,7,12,25,41,-16,19,1359,1359,1359,1359,4-4-1-1 Attack,4-2-3-1 Wide,4-2-3-1 Wide,5-2-1-2,75,73,74,76,73,75,75,73,73,74,74,76,72,68,74,77,Fast,Balanced,Balanced,Slow,Little,Normal,Normal,Little,Long,Mixed,Mixed,Short,Organised,Organised,Organised,Organised,Lots,Normal,Normal,Little,Normal,Normal,Normal,Safe,Lots,Normal,Normal,Little,Double,Press,Press,Contain,Medium,Medium,Medium,Deep,Cover,Cover,Cover,Cover,20,20,10,10,11,9,4,4,30,23,23,23,26.82,26,26.18,25.82,26.6,26.83,25.83,26.17,5,9,4,2,10,5,2,1,6,2,5,4
39,Paraguay,1498.15,1501.01,-2.86,LD,8,27,7,10,10,30,38,-8,31,1375,1375,1375,1356,05-03-2002,4-2-3-1 Wide,4-2-3-1 Wide,4-3-3 Holding,75,74,75,77,75,78,75,79,70,73,75,78,73,70,72,77,Balanced,Slow,Balanced,Slow,Little,Lots,Normal,Little,Mixed,Mixed,Mixed,Short,Organised,Organised,Organised,Organised,Normal,Little,Normal,Little,Normal,Safe,Normal,Safe,Lots,Normal,Normal,Little,Press,Press,Press,Contain,Medium,Deep,Medium,Deep,Cover,Cover,Cover,Cover,20,20,10,10,8,8,4,6,30,23,23,23,28.09,30.73,27.73,26.45,27.5,29.61,28.09,26.26,9,9,9,9,10,10,8,1,9,9,9,9
40,Sweden,1496.99,1524.62,-27.63,LL,12,51,19,13,19,80,73,7,70,1363,1363,1363,1363,4-2-3-1 Narrow,4-3-3 Holding,4-4-2 Flat,4-3-3 Attack,77,75,75,76,78,77,76,78,73,74,75,75,74,74,75,76,Balanced,Balanced,Balanced,Slow,Little,Normal,Normal,Little,Mixed,Short,Mixed,Short,Organised,Organised,Organised,Organised,Lots,Normal,Normal,Little,Risky,Safe,Normal,Safe,Lots,Lots,Normal,Little,Double,Press,Press,Contain,Medium,Medium,Medium,Deep,Cover,Cover,Cover,Cover,20,20,10,10,11,11,5,5,30,23,23,23,26.27,27.64,27.91,25.45,25.67,26.7,26.43,26.87,8,8,8,8,7,7,1,1,8,8,8,8
41,Nigeria,1495.46,1483.86,11.6,WW,6,21,6,3,12,23,30,-7,21,1358,1362,1363,1356,4-4-2 Flat,4-2-3-1 Wide,4-2-3-1 Wide,4-3-3 Holding,76.5,75,77,77,75,76,79,79,74,74,77,78,74,74,76,77,Fast,Balanced,Balanced,Slow,Little,Normal,Normal,Little,Mixed,Mixed,Mixed,Short,Organised,Organised,Organised,Organised,Normal,Normal,Normal,Little,Normal,Normal,Normal,Safe,Lots,Normal,Normal,Little,Press,Press,Press,Contain,Medium,Medium,Medium,Deep,Cover,Cover,Cover,Cover,20,20,10,10,12.5,12,6,6,30,23,23,23,26.865,25.91,26.55,26.45,26.35,25.17,26.04,26.26,5,3,4,4,1,0,0,0,8,3,4,4
42,Cã´Te D'Ivoire,1491.78,1483.9,7.88,WW,3,9,2,4,3,11,16,-5,10,1358,111112,111112,1356,4-4-2 Flat,4-3-3 Attack,4-3-3 Defend,4-3-3 Holding,76.5,76,77,77,75,77,76,79,74,74,78,78,74,74,77,77,Fast,Balanced,Fast,Slow,Little,Normal,Normal,Little,Mixed,Mixed,Long,Short,Organised,Organised,Organised,Organised,Normal,Lots,Normal,Little,Normal,Normal,Risky,Safe,Lots,Normal,Lots,Little,Press,Press,Double,Contain,Medium,Medium,Medium,Deep,Cover,Cover,Cover,Cover,20,20,10,10,12.5,11,6,6,30,23,23,23,26.865,27.55,24.73,26.45,26.35,25.96,25.35,26.26,7,8,2,3,5,9,2,5,7,9,9,4
43,Tunisia,1490.8,1483.02,7.78,WW,6,18,3,5,10,14,26,-12,14,1358,1362,1363,1356,4-4-2 Flat,4-2-3-1 Wide,4-2-3-1 Wide,4-3-3 Holding,76.5,75,77,77,75,76,79,79,74,74,77,78,74,74,76,77,Fast,Balanced,Balanced,Slow,Little,Normal,Normal,Little,Mixed,Mixed,Mixed,Short,Organised,Organised,Organised,Organised,Normal,Normal,Normal,Little,Normal,Normal,Normal,Safe,Lots,Normal,Normal,Little,Press,Press,Press,Contain,Medium,Medium,Medium,Deep,Cover,Cover,Cover,Cover,20,20,10,10,12.5,12,6,6,30,23,23,23,26.865,25.91,26.55,26.45,26.35,25.17,26.04,26.26,4,4,4,5,1,1,5,7,4,4,4,5
44,Czechia,1484.68,1500.29,-15.61,LD,9,33,12,5,16,47,49,-2,41,1330,1330,1330,1330,4-1-2-1-2 Wide,4-2-3-1 Wide,4-4-2 Flat,3-4-2-1,78,75,75,77,73,73,75,79,74,74,74,76,74,73,73,76,Balanced,Balanced,Fast,Slow,Little,Normal,Normal,Little,Long,Mixed,Long,Short,Organised,Organised,Organised,Organised,Normal,Normal,Normal,Little,Normal,Normal,Risky,Safe,Lots,Normal,Normal,Little,Double,Press,Double,Contain,High,Medium,High,Deep,Cover,Cover,Cover,Cover,20,20,10,10,15,14,5,5,30,23,23,23,26.91,26.36,25.09,25.18,27.73,27,24.83,25.78,10,3,4,6,8,6,6,5,7,4,5,6
45,Costa Rica,1483.74,1481.13,2.61,WD,6,21,6,5,10,22,39,-17,23,1358,1362,1363,1356,4-4-2 Flat,4-2-3-1 Wide,4-2-3-1 Wide,4-3-3 Holding,76.5,75,77,77,75,76,79,79,74,74,77,78,74,74,76,77,Fast,Balanced,Balanced,Slow,Little,Normal,Normal,Little,Mixed,Mixed,Mixed,Short,Organised,Organised,Organised,Organised,Normal,Normal,Normal,Little,Normal,Normal,Normal,Safe,Lots,Normal,Normal,Little,Press,Press,Press,Contain,Medium,Medium,Medium,Deep,Cover,Cover,Cover,Cover,20,20,10,10,12.5,12,6,6,30,23,23,23,26.865,25.91,26.55,26.45,26.35,25.17,26.04,26.26,11,11,6,6,1,1,0,0,14,14,6,6
46,Slovakia,1483.35,1491.87,-8.52,WL,1,4,1,1,2,5,7,-2,4,1358,1362,1363,1356,4-4-2 Flat,4-2-3-1 Wide,4-2-3-1 Wide,4-3-3 Holding,76.5,75,77,77,75,76,79,79,74,74,77,78,74,74,76,77,Fast,Balanced,Balanced,Slow,Little,Normal,Normal,Little,Mixed,Mixed,Mixed,Short,Organised,Organised,Organised,Organised,Normal,Normal,Normal,Little,Normal,Normal,Normal,Safe,Lots,Normal,Normal,Little,Press,Press,Press,Contain,Medium,Medium,Medium,Deep,Cover,Cover,Cover,Cover,20,20,10,10,12.5,12,6,6,30,23,23,23,26.865,25.91,26.55,26.45,26.35,25.17,26.04,26.26,11,11,11,11,4,1,3,8,11,11,11,11
47,Romania,1480.13,1462.85,17.28,WW,7,21,8,5,8,30,32,-2,29,1356,1356,1356,1356,4-4-2 Flat,4-2-3-1 Wide,4-2-3-1 Wide,4-3-3 Holding,75,73,72,72,71,73,72,72,70,72,72,72,74,71,70,68,Fast,Balanced,Balanced,Slow,Little,Little,Normal,Little,Mixed,Mixed,Mixed,Short,Organised,Organised,Organised,Organised,Lots,Lots,Normal,Little,Normal,Normal,Normal,Safe,Lots,Normal,Normal,Little,Press,Press,Press,Contain,Deep,Medium,Medium,Deep,Cover,Cover,Cover,Cover,20,20,10,10,10,10,5,5,30,23,23,23,27.27,26.09,27.09,27.45,27.23,26.17,26.04,25.52,4,9,2,1,2,1,6,7,10,1,6,10
48,Greece,1472.99,1494.72,-21.73,LL,3,10,2,2,6,5,20,-15,8,1338,1338,1338,1338,3-4-2-1,4-2-3-1 Wide,4-2-3-1 Wide,4-3-3 Flat,76,74,76,73,76,76,78,72,75,72,74,75,74,76,77,73,Balanced,Balanced,Fast,Slow,Little,Normal,Normal,Little,Mixed,Mixed,Long,Short,Organised,Organised,Organised,Organised,Lots,Normal,Lots,Little,Safe,Normal,Risky,Safe,Little,Normal,Lots,Little,Contain,Press,Contain,Contain,Deep,Deep,Deep,Deep,Offside trap,Cover,Cover,Cover,20,20,10,10,13,13,6,6,27,23,23,23,27,25.64,28.09,25.45,26.63,25.17,26.04,25,5,7,7,7,0,1,1,1,5,10,10,10
